_id,from_id,to_id,properties
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8676,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:58,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8677,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:60,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8678,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:60,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4451,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8679,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:60,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4450,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8680,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:61,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8681,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:63,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8682,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:63,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4450,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8683,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:64,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8684,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:65,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8685,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:66,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8686,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:67,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4450,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8687,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:67,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
